time,seconds,ppfd
0,0,0
30,1800,0
60,3600,0
90,5400,0
120,7200,0
150,9000,3.7
180,10800,9.3
210,12600,15
240,14400,20.6
270,16200,24.2
300,18000,26.9
330,19800,29.9
360,21600,33.2
390,23400,45.7
420,25200,62.7
450,27000,79.5
480,28800,96.3
510,30600,112.9
540,32400,129.8
570,34200,137.8
600,36000,142.2
630,37800,146.6
660,39600,151.1
690,41400,155.5
720,43200,159.2
750,45000,144.2
780,46800,122.9
810,48600,102.1
840,50400,80.9
870,52200,59.7
900,54000,39.3
930,55800,32.9
960,57600,32.1
990,59400,30
1020,61200,25.4
1050,63000,19.4
1080,64800,13.3
1110,66600,7.1
1140,68400,4.1
1170,70200,3.6
1200,72000,3
1230,73800,2.4
1260,75600,1.6
1290,77400,1
1320,79200,0.6
1350,81000,0.1
1380,82800,0
1410,84600,0
1440,86400,0
